accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.5195098519325256,7.884954452514648,0.7587096691131592,7.251015663146973,9.999999747378752e-05,0
0.6871976852416992,7.448541164398193,0.8180645108222961,7.140989780426025,9.999999747378752e-05,1
0.7739439010620117,7.275812149047852,0.8490322828292847,7.079341411590576,9.999999747378752e-05,2
0.8071590065956116,7.192225456237793,0.8683871030807495,7.045239448547363,9.999999747378752e-05,3
0.831344723701477,7.153311252593994,0.8709677457809448,7.024137020111084,9.999999747378752e-05,4
0.8465011119842529,7.108202934265137,0.8799999952316284,7.0100555419921875,9.999999747378752e-05,5
0.8548855185508728,7.080610275268555,0.8903225660324097,6.997336387634277,9.999999747378752e-05,6
0.8684295415878296,7.057579040527344,0.889032244682312,6.987574577331543,9.999999747378752e-05,7
0.8755240440368652,7.034298896789551,0.896774172782898,6.979413986206055,9.999999747378752e-05,8
0.8861657381057739,7.0156073570251465,0.9045161008834839,6.971950054168701,9.999999747378752e-05,9
0.8832634687423706,7.015141487121582,0.9058064222335815,6.9656243324279785,9.999999747378752e-05,10
0.8984198570251465,6.992140293121338,0.9109677672386169,6.960437297821045,9.999999747378752e-05,11
0.8926152586936951,6.985370635986328,0.9187096953392029,6.954793453216553,9.999999747378752e-05,12
0.8926152586936951,6.992453098297119,0.9174193739891052,6.949079990386963,9.999999747378752e-05,13
0.9109964370727539,6.958071708679199,0.9148387312889099,6.9469828605651855,9.999999747378752e-05,14
0.910673975944519,6.948582172393799,0.9148387312889099,6.942489147186279,9.999999747378752e-05,15
0.9177684783935547,6.939396858215332,0.9187096953392029,6.938197612762451,9.999999747378752e-05,16
0.910673975944519,6.9439167976379395,0.9200000166893005,6.932785987854004,9.999999747378752e-05,17
0.9155111312866211,6.936112880706787,0.9187096953392029,6.929379940032959,9.999999747378752e-05,18
0.9184134006500244,6.917900085449219,0.9174193739891052,6.926868915557861,9.999999747378752e-05,19
0.9197033047676086,6.918148994445801,0.9200000166893005,6.9240522384643555,9.999999747378752e-05,20
0.9235730171203613,6.920628547668457,0.9225806593894958,6.921794891357422,9.999999747378752e-05,21
0.9219606518745422,6.916799545288086,0.9238709807395935,6.91895055770874,9.999999747378752e-05,22
0.9277652502059937,6.903236389160156,0.9212903380393982,6.91750431060791,9.999999747378752e-05,23
0.9284101724624634,6.897727012634277,0.9212903380393982,6.915011882781982,9.999999747378752e-05,24
0.9248629212379456,6.902427673339844,0.9225806593894958,6.911980152130127,9.999999747378752e-05,25
0.9322798848152161,6.883505821228027,0.9238709807395935,6.9096879959106445,9.999999747378752e-05,26
0.9293776154518127,6.884693622589111,0.9238709807395935,6.9062604904174805,9.999999747378752e-05,27
0.9274427890777588,6.890606880187988,0.9238709807395935,6.9052348136901855,9.999999747378752e-05,28
0.9348596930503845,6.879248142242432,0.9238709807395935,6.9029436111450195,9.999999747378752e-05,29
0.9332473278045654,6.87056827545166,0.9225806593894958,6.902041912078857,9.999999747378752e-05,30
0.9371170401573181,6.870107650756836,0.9238709807395935,6.899192810058594,9.999999747378752e-05,31
